Total,TimeBin,WomenOCC,MenOCC,WomenUT4M,MenUT4M
0,210 min,0,0,0,0
0,225 min,0,0,0,0
0,240 min,0,0,0,0
1,255 min,0,0,0,1
1,270 min,0,0,0,1
1,285 min,0,0,0,1
0,300 min,0,0,0,4
7,315 min,0,7,0,4
8,330 min,0,8,1,3
10,345 min,0,10,1,13
18,360 min,1,17,0,6
16,375 min,2,14,2,15
14,390 min,3,11,4,22
16,405 min,1,15,2,18
21,420 min,5,16,4,7
32,435 min,5,27,3,17
32,450 min,5,27,1,19
24,465 min,3,21,2,14
25,480 min,2,23,3,15
48,495 min,5,43,6,9
46,510 min,6,40,5,16
76,525 min,13,63,5,9
51,540 min,7,44,5,11
70,555 min,8,62,5,8
77,570 min,14,63,4,6
74,585 min,12,62,5,2
41,600 min,4,37,2,2
84,615 min,14,70,1,1
60,630 min,14,46,4,2
60,645 min,12,48,1,2
64,660 min,20,44,4,3
73,675 min,19,54,3,2
59,690 min,13,46,4,2
45,705 min,16,29,2,4
51,720 min,17,34,0,0
46,735 min,18,28,0,0
32,750 min,7,25,2,3
31,765 min,14,17,0,0
36,780 min,16,20,0,0
23,795 min,11,12,0,0
33,810 min,15,18,0,0
19,825 min,7,12,0,0
22,840 min,8,14,0,0
9,855 min,3,6,0,0
7,870 min,5,2,0,0
0,885 min,0,0,0,0
0,900 min,0,0,0,0
0,885 min,0,0,0,0
0,900 min,0,0,0,0
